Section,Exercise Name,Primary Muscle,Sets,Reps,Rest,Link,Notes
Push #1,Barbell Bench Press,Chest,4,8-12,90s,https://www.youtube.com/watch?v=rT7DgCr-3pg,Keep your feet flat on the ground and retract your shoulder blades
Push #1,Incline Dumbbell Press,Chest,3,8-12,90s,https://www.youtube.com/watch?v=8iNEnVJ-44Q,Set bench to 30-45 degree angle
Push #1,Overhead Press,Shoulders,3,8-12,90s,https://www.youtube.com/watch?v=2yjwXTZQDDg,Press directly overhead, not in front
Push #1,Lateral Raises,Shoulders,3,12-15,60s,https://www.youtube.com/watch?v=3VcKaXpzqRo,Keep slight bend in elbows
Push #1,Tricep Dips,Triceps,3,8-12,60s,https://www.youtube.com/watch?v=2z8JmcrW-As,Keep elbows close to body
Push #2,Incline Barbell Press,Chest,4,8-12,90s,https://www.youtube.com/watch?v=8iNEnVJ-44Q,Set bench to 30-45 degree angle
Push #2,Dumbbell Flyes,Chest,3,10-12,90s,https://www.youtube.com/watch?v=eozdVDA78K0,Keep slight bend in elbows
Push #2,Arnold Press,Shoulders,3,8-12,90s,https://www.youtube.com/watch?v=3VcKaXpzqRo,Rotate palms during press
Push #2,Front Raises,Shoulders,3,10-12,60s,https://www.youtube.com/watch?v=3VcKaXpzqRo,Keep arms straight
Push #2,Skull Crushers,Triceps,3,8-12,60s,https://www.youtube.com/watch?v=2z8JmcrW-As,Lower bar behind head
Pull #1,Barbell Rows,Back,4,8-12,90s,https://www.youtube.com/watch?v=G8l_8chS5nc,Pull elbows back and up
Pull #1,Pull-ups,Back,3,6-10,90s,https://www.youtube.com/watch?v=eGo4IYlbA5Q,Full range of motion
Pull #1,Seated Cable Rows,Back,3,10-12,90s,https://www.youtube.com/watch?v=G8l_8chS5nc,Squeeze shoulder blades
Pull #1,Barbell Curls,Biceps,3,8-12,60s,https://www.youtube.com/watch?v=kwG2ipFRgfo,Keep elbows at sides
Pull #1,Hammer Curls,Biceps,3,10-12,60s,https://www.youtube.com/watch?v=kwG2ipFRgfo,Alternate arms
Pull #2,Deadlifts,Back,4,6-8,120s,https://www.youtube.com/watch?v=1ZXobu7JvvE,Keep back straight
Pull #2,T-Bar Rows,Back,3,8-12,90s,https://www.youtube.com/watch?v=G8l_8chS5nc,Keep chest up
Pull #2,Lat Pulldowns,Back,3,10-12,90s,https://www.youtube.com/watch?v=eGo4IYlbA5Q,Pull to upper chest
Pull #2,Preacher Curls,Biceps,3,8-12,60s,https://www.youtube.com/watch?v=kwG2ipFRgfo,Full extension
Pull #2,Concentration Curls,Biceps,3,10-12,60s,https://www.youtube.com/watch?v=kwG2ipFRgfo,One arm at a time
Legs #1,Squats,Legs,4,8-12,120s,https://www.youtube.com/watch?v=1ZXobu7JvvE,Keep knees in line with toes
Legs #1,Leg Press,Legs,3,10-12,90s,https://www.youtube.com/watch?v=1ZXobu7JvvE,Full range of motion
Legs #1,Leg Extensions,Quads,3,12-15,60s,https://www.youtube.com/watch?v=1ZXobu7JvvE,Squeeze at top
Legs #1,Leg Curls,Hamstrings,3,10-12,60s,https://www.youtube.com/watch?v=1ZXobu7JvvE,Full range of motion
Legs #1,Calf Raises,Calves,4,15-20,60s,https://www.youtube.com/watch?v=1ZXobu7JvvE,Full stretch and contraction
Legs #2,Deadlifts,Legs,4,6-8,120s,https://www.youtube.com/watch?v=1ZXobu7JvvE,Keep back straight
Legs #2,Lunges,Legs,3,10-12,90s,https://www.youtube.com/watch?v=1ZXobu7JvvE,Alternate legs
Legs #2,Leg Extensions,Quads,3,12-15,60s,https://www.youtube.com/watch?v=1ZXobu7JvvE,Squeeze at top
Legs #2,Leg Curls,Hamstrings,3,10-12,60s,https://www.youtube.com/watch?v=1ZXobu7JvvE,Full range of motion
Legs #2,Standing Calf Raises,Calves,4,15-20,60s,https://www.youtube.com/watch?v=1ZXobu7JvvE,Full stretch and contraction 